init_query	rep_query	sys_num	sys_name
упрощенная система налогообложения	упрощенная система налогообложения 	 1 	 Система Бухгалтер
расторжение договора не прекращает	Вопрос: расторжение договора не прекращает 	 3 	 Система Юрист
необычные доказательства	Вопрос: необычные доказательства 	 3 	 Система Юрист
пристав может привлечь директора к уголовной ответтсвенности	Пристав может привлечь директора к уголовной ответственности 	 3 	 Система Юрист
солидарная или субсидиарная ответственность	Система Юрист 	 3 	 Система Юрист
что попадает под акцизу котельное топливо	Вопрос: что попадает под акцизу котельное топливо 	 1 	 Система Бухгалтер
дивиденды по привилегированным акциям определенных типов также могут выплачиваться за счет ранее сформированных для этих целей специальных фондов общества.	Дивиденды по привилегированным акциям определенных типов также могут выплачиваться за счет ранее сформированных для этих целей специальных фондов общества. 	 4 	 Система Финансист
университет	Вопрос: университет 	 7 	 Система Образование
исполнительный лист срок действия	исполнительный лист срок действия 	 3 	 Система Юрист
коап рф	КоАП РФ 	 3 	 Система Юрист
п. 1 ст. 784 п. 2 ст 785	Вопрос: п. 1 ст. 784 п. 2 ст 785 	 3 	 Система Юрист
оплата коммунальных услуг в аварийном доме	оплата коммунальных услуг в аварийном доме 	 10 	 Система Управление многоквартирным домом
как рассчитываются отпускные если уволился и устроился в одну и ту же организацию?	как рассчитываются отпускные если уволился и устроился в одну и ту же организацию? 	 2 	 Система Кадры
как считать плату за электроэнергию если поломался общедомовой прибор учета	как считать плату за электроэнергию если поломался общедомовой прибор учета 	 10 	 Система Управление многоквартирным домом
топ документов которые должен иметь предприниматель	Вопрос: топ документов которые должен иметь предприниматель 	 3 	 Система Юрист
налог на выбросы окружающей среды сроки уплаты	налог на выбросы окружающей среды сроки уплаты 	 13 	 Система Экология
акт сверки задолженности за пределами срока исковой давности	Акт сверки задолженности за пределами срока исковой давности 	 3 	 Система Юрист
запрос уставных документов у контрагента	Запрос уставных документов у контрагента 	 3 	 Система Юрист
примерная форма положения о конфликте интересов	примерная форма положения о конфликте интересов 	 3 	 Система Юрист
безбилетный пассажир	Вопрос: безбилетный пассажир 	 3 	 Система Юрист
