init_query	rep_query	sys_num	sys_name
заявление на увольнение отпрвить через мессенжер	заявление на увольнение отпрвить через мессенжер 	 2 	 Система Кадры
постоянный трудовой договор и бессрочный	постоянный трудовой договор и бессрочный 	 2 	 Система Кадры
выплата компенсации при увольнении после декрета	выплата компенсации при увольнении после декрета 	 2 	 Система Кадры
перерыв на обед сутки через трое	перерыв на обед сутки через трое 	 2 	 Система Кадры
кпэ директора по персоналу	кпэ директора по персоналу 	 2 	 Система Кадры
сиз	Система Охрана труда 	 6 	 Система Охрана труда
перевод на 0,5 ставки	Вопрос: перевод на 0,5 ставки 	 2 	 Система Кадры
список должностей военнообязанных	Вопрос: список должностей военнообязанных 	 2 	 Система Кадры
как считать отпускной период декретчице, работавшей в отпуске по уходу за ребенком	как считать отпускной период декретчице, работавшей в отпуске по уходу за ребенком 	 2 	 Система Кадры
график работы для кормящей мамы	график работы для кормящей мамы 	 2 	 Система Кадры
инженер 1 категории отдела подготовки и проведения ремонтов профстандарт	Вопрос: инженер 1 категории отдела подготовки и проведения ремонтов профстандарт 	 14 	 Система Промбезопасность
трудовой договор в дни учебы дети	трудовой договор в дни учебы дети 	 2 	 Система Кадры
медицинский осмотр при приеме на работу офисного сотрудника	медицинский осмотр при приеме на работу офисного сотрудника 	 8 	 Система Медицина
акт об утере ноутбуку	Вопрос: акт об утере ноутбука 	 3 	 Система Юрист
дополнительные оплачиваемые выходные для ухода за детьми инвалидами	Дополнительные оплачиваемые выходные для ухода за детьми инвалидами 	 2 	 Система Кадры
улучшение условий труда по соут что делать работодателю	Улучшение условий труда по СУОТ что делать работодателю 	 6 	 Система Охрана труда
нужно ли сокращать предпраздничный день на один час при работе в выходной день	нужно ли сокращать предпраздничный день на один час при работе в выходной день 	 2 	 Система Кадры
можно ли установить работнику инвалиду 2 группы 35 часовую рабочую неделю с режимом работы	можно ли установить работнику инвалиду 2 группы 35 часовую рабочую неделю с режимом работы 	 2 	 Система Кадры
коллективные договоры	коллективные договоры 	 3 	 Система Юрист
заявление о назначении ежемесячного пособия по уходу за ребенком (форма)	заявление о назначении ежемесячного пособия по уходу за ребенком (форма) 	 2 	 Система Кадры
положение о стажировке	Вопрос: положение о стажировке 	 2 	 Система Кадры
